Date and Time (UTC), Unix Timestamp (UTC), ID, Data, Protocol, SNR, Receiver
2023-06-15T13:00:02.363Z,1686834002.363,36,4,S256-69kHz,40,000022
2023-06-15T12:59:52.383Z,1686833992.383,36,4,S256-69kHz,25,000632
2023-06-15T12:59:52.365Z,1686833992.365,36,4,S256-69kHz,44,000022
2023-06-15T12:59:42.378Z,1686833982.378,36,4,S256-69kHz,23,000047
2023-06-15T12:59:32.381Z,1686833972.381,36,4,S256-69kHz,25,000632
2023-06-15T12:59:32.378Z,1686833972.378,36,4,S256-69kHz,27,000047
2023-06-15T12:59:32.369Z,1686833972.369,36,4,S256-69kHz,45,000022
2023-06-15T12:59:22.381Z,1686833962.381,36,4,S256-69kHz,27,000632
2023-06-15T12:59:22.379Z,1686833962.379,36,4,S256-69kHz,26,000047
2023-06-15T12:59:22.367Z,1686833962.367,36,4,S256-69kHz,41,000022
2023-06-15T12:59:22.367Z,1686833962.367,36,4,S256-71kHz,14,000022
2023-06-15T12:59:22.367Z,1686833962.367,36,4,S256-67kHz,9,000022
2023-06-15T12:59:12.368Z,1686833952.368,36,4,S256-69kHz,40,000022
2023-06-15T12:59:02.380Z,1686833942.380,36,4,S256-69kHz,31,000047
2023-06-15T12:59:02.379Z,1686833942.379,36,4,S256-69kHz,28,000632
2023-06-15T12:59:02.368Z,1686833942.368,36,4,S256-69kHz,48,000022
2023-06-15T12:59:02.368Z,1686833942.368,36,4,S256-71kHz,16,000022
2023-06-15T12:59:02.368Z,1686833942.368,36,4,S256-67kHz,10,000022
2023-06-15T12:58:52.380Z,1686833932.380,36,4,S256-69kHz,30,000047
2023-06-15T12:58:52.379Z,1686833932.379,36,4,S256-69kHz,27,000632
2023-06-15T12:58:52.369Z,1686833932.369,36,4,S256-71kHz,13,000022
2023-06-15T12:58:52.369Z,1686833932.369,36,4,S256-67kHz,11,000022
2023-06-15T12:58:52.368Z,1686833932.368,36,4,S256-69kHz,44,000022
2023-06-15T12:58:42.379Z,1686833922.379,36,4,S256-69kHz,27,000632
2023-06-15T12:58:42.368Z,1686833922.368,36,4,S256-69kHz,44,000022
2023-06-15T12:58:42.368Z,1686833922.368,36,4,S256-71kHz,16,000022
2023-06-15T12:58:32.381Z,1686833912.381,36,4,S256-69kHz,26,000047
2023-06-15T12:58:32.378Z,1686833912.378,36,4,S256-69kHz,27,000632
2023-06-15T12:58:32.368Z,1686833912.368,36,4,S256-69kHz,43,000022
2023-06-15T12:58:22.380Z,1686833902.380,36,4,S256-69kHz,32,000047
2023-06-15T12:58:22.378Z,1686833902.378,36,4,S256-69kHz,23,000632
2023-06-15T12:58:22.368Z,1686833902.368,36,4,S256-69kHz,45,000022
2023-06-15T12:58:12.377Z,1686833892.377,36,5,S256-69kHz,29,000632
2023-06-15T12:58:12.367Z,1686833892.367,36,5,S256-69kHz,44,000022
2023-06-15T12:58:12.367Z,1686833892.367,36,5,S256-71kHz,17,000022
2023-06-15T12:58:02.381Z,1686833882.381,36,8,S256-69kHz,28,000047
2023-06-15T12:58:02.378Z,1686833882.378,36,8,S256-69kHz,34,000632
2023-06-15T12:58:02.368Z,1686833882.368,36,8,S256-69kHz,46,000022
2023-06-15T12:58:02.368Z,1686833882.368,36,8,S256-71kHz,18,000022
2023-06-15T12:58:02.368Z,1686833882.368,36,8,S256-67kHz,11,000022
2023-06-15T12:57:52.381Z,1686833872.381,36,9,S256-69kHz,31,000047
2023-06-15T12:57:52.377Z,1686833872.377,36,9,S256-69kHz,38,000632
2023-06-15T12:57:52.368Z,1686833872.368,36,9,S256-69kHz,50,000022
2023-06-15T12:57:52.368Z,1686833872.368,36,9,S256-67kHz,13,000022
2023-06-15T12:57:42.382Z,1686833862.382,36,9,S256-69kHz,30,000047
